candidate	model	index	node_name	weight_tensor	weight_shape	explicit_kernel_shape	derived_kernel_shape	status
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	106	/model.0/conv/Conv	model.0.conv.weight	16x3x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	115	/model.1/conv/Conv	model.1.conv.weight	32x16x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	124	/model.2/cv1/conv/Conv	model.2.cv1.conv.weight	32x32x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	138	/model.2/m.0/cv1/conv/Conv	model.2.m.0.cv1.conv.weight	8x16x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	147	/model.2/m.0/cv2/conv/Conv	model.2.m.0.cv2.conv.weight	16x8x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	162	/model.2/cv2/conv/Conv	model.2.cv2.conv.weight	64x48x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	171	/model.3/conv/Conv	model.3.conv.weight	64x64x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	180	/model.4/cv1/conv/Conv	model.4.cv1.conv.weight	64x64x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	194	/model.4/m.0/cv1/conv/Conv	model.4.m.0.cv1.conv.weight	16x32x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	203	/model.4/m.0/cv2/conv/Conv	model.4.m.0.cv2.conv.weight	32x16x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	218	/model.4/cv2/conv/Conv	model.4.cv2.conv.weight	128x96x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	227	/model.5/conv/Conv	model.5.conv.weight	128x128x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	236	/model.6/cv1/conv/Conv	model.6.cv1.conv.weight	128x128x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	250	/model.6/m.0/cv1/conv/Conv	model.6.m.0.cv1.conv.weight	32x64x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	251	/model.6/m.0/cv2/conv/Conv	model.6.m.0.cv2.conv.weight	32x64x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	268	/model.6/m.0/m/m.0/cv1/conv/Conv	model.6.m.0.m.0.cv1.conv.weight	32x32x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	277	/model.6/m.0/m/m.0/cv2/conv/Conv	model.6.m.0.m.0.cv2.conv.weight	32x32x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	289	/model.6/m.0/m/m.1/cv1/conv/Conv	model.6.m.0.m.1.cv1.conv.weight	32x32x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	298	/model.6/m.0/m/m.1/cv2/conv/Conv	model.6.m.0.m.1.cv2.conv.weight	32x32x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	313	/model.6/m.0/cv3/conv/Conv	model.6.m.0.cv3.conv.weight	64x64x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	325	/model.6/cv2/conv/Conv	model.6.cv2.conv.weight	128x192x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	334	/model.7/conv/Conv	model.7.conv.weight	256x128x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	343	/model.8/cv1/conv/Conv	model.8.cv1.conv.weight	256x256x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	357	/model.8/m.0/cv1/conv/Conv	model.8.m.0.cv1.conv.weight	64x128x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	358	/model.8/m.0/cv2/conv/Conv	model.8.m.0.cv2.conv.weight	64x128x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	375	/model.8/m.0/m/m.0/cv1/conv/Conv	model.8.m.0.m.0.cv1.conv.weight	64x64x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	384	/model.8/m.0/m/m.0/cv2/conv/Conv	model.8.m.0.m.0.cv2.conv.weight	64x64x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	396	/model.8/m.0/m/m.1/cv1/conv/Conv	model.8.m.0.m.1.cv1.conv.weight	64x64x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	405	/model.8/m.0/m/m.1/cv2/conv/Conv	model.8.m.0.m.1.cv2.conv.weight	64x64x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	420	/model.8/m.0/cv3/conv/Conv	model.8.m.0.cv3.conv.weight	128x128x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	432	/model.8/cv2/conv/Conv	model.8.cv2.conv.weight	256x384x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	441	/model.9/cv1/conv/Conv	model.9.cv1.conv.weight	128x256x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	454	/model.9/cv2/conv/Conv	model.9.cv2.conv.weight	256x512x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	466	/model.10/cv1/conv/Conv	model.10.cv1.conv.weight	256x256x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	480	/model.10/m/m.0/attn/qkv/conv/Conv	model.10.m.0.attn.qkv.conv.weight	256x128x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	496	/model.10/m/m.0/attn/pe/conv/Conv	model.10.m.0.attn.pe.conv.weight	128x1x3x3	3,3	3,3	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	515	/model.10/m/m.0/attn/proj/conv/Conv	model.10.m.0.attn.proj.conv.weight	128x128x1x1	1,1	1,1	pass
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	521	/model.10/m/m.0/ffn/ffn.0/conv/Conv	model.10.m.0.ffn.0.conv.weight	256x128x1x1	1,1	1,1	pass
